trial,sequence,response,accuracy,subject
1,OWTMGXCVYBSAQUR,OWTMFKLSNDJUYWJAK,0.5333333333333333,clara
2,HNWTSCJKUOAPVID,HNWTOPTYUHDSFSI,0.6666666666666666,clara
3,XORVGMIAQSUPJNW,JNWXORUHSKLODJNSJ,0.5333333333333333,clara
4,IACUZSKNPRFGBHV,HVIACUHJPOILKWM,0.5333333333333333,clara
5,PNODHCSMELQWAYJ,CNQWLOJUHSTAIUS,0.6666666666666666,clara
6,RDJOTHWFSVBCANU,JWDMLKSOIUWTSJK,0.4666666666666667,clara
7,NXEIBLJTGVYOPUA,TGVYHJSKAPOWLKM,0.6,clara
8,CBNQKLYIZSPDGRX,TGNLYDOUIWJKOSI,0.5333333333333333,clara
9,BAZGQDXERIOHYMS,JHDUISOALKJWIUE,0.4666666666666667,clara
10,HANUJDZXWIMRLTS,HANDJXIOUIWSTJR,0.8,clara
1,RWLIBNOAEZQXFMD,RWLBOIAFEWRNTE,0.6666666666666666,erine
2,HYSWARNEITZKGOM,IZWARNEITGOAN,0.6666666666666666,erine
3,DWLGOTUCJIZRHBA,DWLGOTUCJIZRHBA,1.0,erine
4,NHICTERQMWDUPSJ,PUSJNHIK,0.4666666666666667,erine
5,GNMDSIZPLWBFRUE,RUEGNMDRIJWS,0.6666666666666666,erine
6,RZXECOBVKGWIAJT,WIAJTRTBOKNME,0.6666666666666666,erine
7,KZQJHGERVMUSPBT,RMVUSBPTHGWSVT,0.6666666666666666,erine
8,XRQMLKYFTVDICAE,XRWMIALTVR,0.5333333333333333,erine
9,NZGEQLPJSVMDBOA,BOANZVMJS,0.6,erine
10,MNTLBCDHSYVWOKA,YVWOKADHSMNT,0.8,erine
1,ELITGKHBMWZRUVQ,EHLOJTBRKSVNMZA,0.6666666666666666,zuriel
2,AIBUDFTXVSGJZOC,SDFATYUIOPLKJ,0.6,zuriel
3,YKIUCPEZANDGBTF,YKDIUFTHGBNA,0.7333333333333333,zuriel
4,CAYLUXPVIGOKSZM,ZAXCTHGLOPIDF,0.6,zuriel
5,EIGZXBSJCPVWRYF,EIGXCSPFHAQZPUN,0.6,zuriel
6,GNKMOBEXSWQIZPA,QWERUIOPASDFH,0.5333333333333333,zuriel
7,IVYBPSJRDZLKWNH,VYIPSBHJLKQWERA,0.8,zuriel
8,ETXHCJIPBGWZAYS,QWERYUPOSDGHF,0.4666666666666667,zuriel
9,MGOANWBTQYJZPHU,MONJLKSTYUDXZAQ,0.6666666666666666,zuriel
10,SYXCJLTOHMWAERP,SYUIDKFJNMCBVZQ,0.3333333333333333,zuriel
1,FEYRKBUQNPDMIAH,FEYRQBNUVA,0.6,joao
2,ABIHOPFLQJRUWZD,AOBYILOPHRW,0.6,joao
3,NTKQSWUCIROJLHF,HFJNTQKIL,0.6,joao
4,PADELBSMFXYCWVG,PADELBSMFYINGXA,0.8,joao
5,PSVEAHQDFRWOGUN,NUGRSVEADK,0.6,joao
6,PJWTLSFIAKYXUEO,PJWTISLOA,0.6,joao
7,MTKIGCPJWDZRYEB,BGMKTIGCP,0.5333333333333333,joao
8,KIRTWDPSLEFVQUZ,KRTWDPSLEFT,0.6666666666666666,joao
9,THOMLYZWFXRJSAK,THOMLIZUFXA,0.6,joao
10,EKPBINHWCRFVSTY,EKPOBRINCYAVZ,0.6666666666666666,joao
