trial,sequence,response,accuracy,positional_accuracy,subject
1,EAIRHT,EARLHI,0.5,"[1, 1, 0, 0, 1, 0]",clara
2,WKCGLE,WKCELP,0.6666666666666666,"[1, 1, 1, 0, 1, 0]",clara
3,MNXEBR,MNWEBR,0.8333333333333334,"[1, 1, 0, 1, 1, 1]",clara
4,NAYFTR,NAYETR,0.8333333333333334,"[1, 1, 1, 0, 1, 1]",clara
5,SJCTWM,SECTWE,0.6666666666666666,"[1, 0, 1, 1, 1, 0]",clara
6,TFGIQM,TFGEFL,0.5,"[1, 1, 1, 0, 0, 0]",clara
7,MTQROB,STQRLM,0.5,"[0, 1, 1, 1, 0, 0]",clara
8,GYVFKM,FETLCS,0.0,"[0, 0, 0, 0, 0, 0]",clara
9,TQDCEM,TQCLTE,0.3333333333333333,"[1, 1, 0, 0, 0, 0]",clara
10,BNYEMD,BNFEMD,0.8333333333333334,"[1, 1, 0, 1, 1, 1]",clara
1,GBWMTY,GBWMTY,1.0,"[1, 1, 1, 1, 1, 1]",erine
2,RDTOCA,RDTOCA,1.0,"[1, 1, 1, 1, 1, 1]",erine
3,QCNMRK,QCNMRK,1.0,"[1, 1, 1, 1, 1, 1]",erine
4,ASUCWK,ASUCWK,1.0,"[1, 1, 1, 1, 1, 1]",erine
5,MQULJP,MQULJP,1.0,"[1, 1, 1, 1, 1, 1]",erine
6,YBNDKG,YBNDKG,1.0,"[1, 1, 1, 1, 1, 1]",erine
7,WSNXKC,WSNXKC,1.0,"[1, 1, 1, 1, 1, 1]",erine
8,HUABIE,HUABIE,1.0,"[1, 1, 1, 1, 1, 1]",erine
9,XSDMZE,XSDMDE,0.8333333333333334,"[1, 1, 1, 1, 0, 1]",erine
10,OLUNTY,OLUNTY,1.0,"[1, 1, 1, 1, 1, 1]",erine
1,HFELYZ,HFLEYZ,0.6666666666666666,"[1, 1, 0, 0, 1, 1]",zuriel
2,RFKJYX,RFGJYX,0.8333333333333334,"[1, 1, 0, 1, 1, 1]",zuriel
3,VHTYKS,VYHTKX,0.3333333333333333,"[1, 0, 0, 0, 1, 0]",zuriel
4,NBXREG,NBXRGE,0.6666666666666666,"[1, 1, 1, 1, 0, 0]",zuriel
5,OCIZTJ,OCIZTJ,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
6,QNFPMT,QNFPMT,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
7,CJWPOB,CJWPOB,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
8,KHWYPV,KHWYPV,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
9,ZPGANJ,ZPGANJ,1.0,"[1, 1, 1, 1, 1, 1]",zuriel
10,YLHGTJ,YHLGPJ,0.5,"[1, 0, 0, 1, 0, 1]",zuriel
1,LDESFM,LDESFM,1.0,"[1, 1, 1, 1, 1, 1]",joao
2,MJEZYK,MJESYK,0.8333333333333334,"[1, 1, 1, 0, 1, 1]",joao
3,KLUQFP,KLUQFP,1.0,"[1, 1, 1, 1, 1, 1]",joao
4,CTRPNW,CTRPNW,1.0,"[1, 1, 1, 1, 1, 1]",joao
5,EFTBLZ,EFTBLZ,1.0,"[1, 1, 1, 1, 1, 1]",joao
6,ITFEJO,ITFEJO,1.0,"[1, 1, 1, 1, 1, 1]",joao
7,PBQLIE,PBQLIE,1.0,"[1, 1, 1, 1, 1, 1]",joao
8,VWSHZM,EWSHZM,0.8333333333333334,"[0, 1, 1, 1, 1, 1]",joao
9,IFGQWN,IFGQWN,1.0,"[1, 1, 1, 1, 1, 1]",joao
10,ZCJTKP,ZCJTKP,1.0,"[1, 1, 1, 1, 1, 1]",joao
