trial,sequence,response,accuracy,positional_accuracy
1,YDVPNW,YDWPML,0.5,"[1, 1, 0, 1, 0, 0]"
2,OTJSBZ,OTJSBT,0.8333333333333334,"[1, 1, 1, 1, 1, 0]"
3,MIHVQZ,MIHVQT,0.8333333333333334,"[1, 1, 1, 1, 1, 0]"
4,FAUHSZ,FAUHZT,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
5,OHUKZR,OHUKZR,1.0,"[1, 1, 1, 1, 1, 1]"
6,YJQLIG,UJQLTK,0.5,"[0, 1, 1, 1, 0, 0]"
7,AVILBG,AVILJK,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
8,BXMDVP,BXMDVL,0.8333333333333334,"[1, 1, 1, 1, 1, 0]"
9,DZFASG,DZFAQL,0.6666666666666666,"[1, 1, 1, 1, 0, 0]"
10,TKFOYX,TKFOYK,0.8333333333333334,"[1, 1, 1, 1, 1, 0]"
