trial,sequence,response,accuracy
1,OWTMGXCVYBSAQUR,OWTMFKLSNDJUYWJAK,0.5333333333333333
2,HNWTSCJKUOAPVID,HNWTOPTYUHDSFSI,0.6666666666666666
3,XORVGMIAQSUPJNW,JNWXORUHSKLODJNSJ,0.5333333333333333
4,IACUZSKNPRFGBHV,HVIACUHJPOILKWM,0.5333333333333333
5,PNODHCSMELQWAYJ,CNQWLOJUHSTAIUS,0.6666666666666666
6,RDJOTHWFSVBCANU,JWDMLKSOIUWTSJK,0.4666666666666667
7,NXEIBLJTGVYOPUA,TGVYHJSKAPOWLKM,0.6
8,CBNQKLYIZSPDGRX,TGNLYDOUIWJKOSI,0.5333333333333333
9,BAZGQDXERIOHYMS,JHDUISOALKJWIUE,0.4666666666666667
10,HANUJDZXWIMRLTS,HANDJXIOUIWSTJR,0.8
