trial,sequence,response,accuracy,positional_accuracy
1,UFPNCQ,UFPNZQ,0.8333333333333334,"[1, 1, 1, 1, 0, 1]"
2,XBHAYN,OPXANS,0.16666666666666666,"[0, 0, 0, 1, 0, 0]"
3,ZPJDTN,ZPJNTD,0.6666666666666666,"[1, 1, 1, 0, 1, 0]"
4,VWRZLT,VWLYKJ,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
5,TMGUCO,TMGUCO,1.0,"[1, 1, 1, 1, 1, 1]"
6,GROICF,GRCUSL,0.3333333333333333,"[1, 1, 0, 0, 0, 0]"
7,WYLTPX,TRSJLX,0.16666666666666666,"[0, 0, 0, 0, 0, 1]"
8,ZTSXWO,TRSOML,0.16666666666666666,"[0, 0, 1, 0, 0, 0]"
9,LABMRO,LABMRO,1.0,"[1, 1, 1, 1, 1, 1]"
10,KWAQJH,KWAQOH,0.8333333333333334,"[1, 1, 1, 1, 0, 1]"
