trial,sequence,response,accuracy
1,RWLIBNOAEZQXFMD,RWLBOIAFEWRNTE,0.6666666666666666
2,HYSWARNEITZKGOM,IZWARNEITGOAN,0.6666666666666666
3,DWLGOTUCJIZRHBA,DWLGOTUCJIZRHBA,1.0
4,NHICTERQMWDUPSJ,PUSJNHIK,0.4666666666666667
5,GNMDSIZPLWBFRUE,RUEGNMDRIJWS,0.6666666666666666
6,RZXECOBVKGWIAJT,WIAJTRTBOKNME,0.6666666666666666
7,KZQJHGERVMUSPBT,RMVUSBPTHGWSVT,0.6666666666666666
8,XRQMLKYFTVDICAE,XRWMIALTVR,0.5333333333333333
9,NZGEQLPJSVMDBOA,BOANZVMJS,0.6
10,MNTLBCDHSYVWOKA,YVWOKADHSMNT,0.8
